bps_model_id,class,max_height_ft,max_diameter_in
10980_3,B,NA,33
10980_3,C,NA,33
10980_4,A,NA,9
10980_4,B,NA,21
10980_4,C,NA,33
10980_6,A,NA,9
10980_6,B,NA,33
10980_6,C,NA,33
10980_7,A,NA,NA
10980_7,B,NA,21
10980_7,C,NA,21
10980_7,D,NA,33
10990_3,A,NA,9
10990_3,B,NA,21
10990_4,A,NA,9
10990_4,B,NA,21
11000_15,A,NA,NA
11000_15,B,NA,NA
11000_26,A,NA,NA
11002_25,A,NA,NA
11002_25,B,NA,NA
11003_25,A,NA,NA
11003_25,B,NA,NA
11010_25,A,NA,NA
11010_25,B,NA,NA
11010_25,C,NA,NA
11010_26,A,NA,NA
11010_26,B,NA,NA
11010_26,C,NA,NA
11020_13_15_16_23_24,A,NA,NA
11020_13_15_16_23_24,B,NA,NA
11020_13_15_16_23_24,C,4.5,NA
11020_13_15_16_23_24,D,NA,5
11020_13_15_16_23_24,E,NA,5
11020_28,A,4.5,NA
11020_28,B,NA,9
11020_28,C,NA,9
11020_28,D,NA,21
11020_28,E,NA,21
11030_6_7_12_13_16_17_23,A,NA,NA
11030_6_7_12_13_16_17_23,B,NA,NA
11040_13_14_25,A,NA,NA
11040_13_14_25,B,NA,NA
11040_15,A,NA,NA
11040_15,B,NA,NA
11040_15,C,NA,NA
11040_15,D,NA,NA
11040_17,A,NA,NA
11040_17,B,NA,NA
11040_23_24,A,NA,NA
11040_23_24,B,NA,NA
11040_23_24,C,NA,NA
11040_23_24,D,NA,NA
11040_23_24,E,NA,NA
11050_3_6_7,A,NA,NA
11050_3_6_7,B,NA,NA
11050_4_5,A,NA,NA
11050_4_5,B,NA,NA
11060_10_19,A,NA,NA
11060_10_19,B,NA,NA
11060_10_19,C,NA,NA
