bps_model_id,severity,return_interval(years),percent_of_all_fires
10531_1_7_8_9,All Fires,15.0,100.0
10532_7_9,Replacement,258.0,18.0
10532_7_9,Moderate (Mixed),100.0,47.0
10532_7_9,Low (Surface),136.0,35.0
10532_7_9,All Fires,47.0,100.0
10540_13_14,Replacement,258.0,6.0
10540_13_14,Moderate (Mixed),39.0,39.0
10540_13_14,Low (Surface),28.0,55.0
10540_13_14,All Fires,15.0,100.0
10540_15_25,Replacement,397.0,2.0
10540_15_25,Moderate (Mixed),108.0,9.0
10540_15_25,Low (Surface),10.0,89.0
10540_15_25,All Fires,9.0,100.0
10540_16_23_24,Replacement,282.0,6.0
10540_16_23_24,Moderate (Mixed),228.0,8.0
10540_16_23_24,Low (Surface),20.0,86.0
10540_16_23_24,All Fires,17.0,100.0
10540_17,Replacement,256.0,6.0
10540_17,Moderate (Mixed),38.0,39.0
10540_17,Low (Surface),28.0,55.0
10540_17,All Fires,15.0,100.0
10540_20,Replacement,231.0,6.0
10540_20,Moderate (Mixed),76.0,18.0
10540_20,Low (Surface),18.0,76.0
10540_20,All Fires,14.0,100.0
10540_22,Replacement,165.0,8.0
10540_22,Moderate (Mixed),49.0,26.0
10540_22,Low (Surface),19.0,66.0
10540_22,All Fires,13.0,100.0
10540_26,Replacement,76.0,12.0
10540_26,Moderate (Mixed),106.0,9.0
10540_26,Low (Surface),11.0,79.0
10540_26,All Fires,9.0,100.0
10540_28,Replacement,506.0,4.0
10540_28,Moderate (Mixed),160.0,13.0
10540_28,Low (Surface),25.0,83.0
10540_28,All Fires,20.0,100.0
10540_29,Replacement,302.0,6.0
10540_29,Moderate (Mixed),264.0,7.0
10540_29,Low (Surface),20.0,87.0
10540_29,All Fires,18.0,100.0
10540_33,Replacement,504.0,5.0
10540_33,Moderate (Mixed),157.0,15.0
10540_33,Low (Surface),30.0,80.0
10540_33,All Fires,24.0,100.0
10541_27,Replacement,348.0,3.0
10541_27,Moderate (Mixed),,
10541_27,Low (Surface),12.0,97.0
10541_27,All Fires,11.0,100.0
10542_27,Replacement,502.0,5.0
10542_27,Moderate (Mixed),159.0,15.0
10542_27,Low (Surface),31.0,80.0
10542_27,All Fires,24.0,100.0
10550_1_8_9,Replacement,231.0,52.0
10550_1_8_9,Moderate (Mixed),247.0,48.0
10550_1_8_9,Low (Surface),,
10550_1_8_9,All Fires,119.0,100.0
10550_10_19,Replacement,207.0,67.0
10550_10_19,Moderate (Mixed),417.0,33.0
10550_10_19,Low (Surface),,
10550_10_19,All Fires,138.0,100.0
10550_15_28,Replacement,194.0,69.0
10550_15_28,Moderate (Mixed),424.0,31.0
10550_15_28,Low (Surface),,
10550_15_28,All Fires,133.0,100.0
10550_16_23_24,Replacement,216.0,97.0
10550_16_23_24,Moderate (Mixed),7174.0,3.0
10550_16_23_24,Low (Surface),,
10550_16_23_24,All Fires,210.0,100.0
10550_17,Replacement,177.0,99.0
10550_17,Moderate (Mixed),16077.0,1.0
10550_17,Low (Surface),,
10550_17,All Fires,175.0,100.0
10550_18,Replacement,176.0,80.0
10550_18,Moderate (Mixed),689.0,20.0
10550_18,Low (Surface),,
10550_18,All Fires,140.0,100.0
10550_20,Replacement,136.0,74.0
10550_20,Moderate (Mixed),383.0,26.0
10550_20,Low (Surface),,
10550_20,All Fires,100.0,100.0
10550_21_22,Replacement,335.0,100.0
10550_21_22,Moderate (Mixed),,
10550_21_22,Low (Surface),,
10550_21_22,All Fires,335.0,100.0
10550_27,Replacement,206.0,69.0
10550_27,Moderate (Mixed),452.0,31.0
10550_27,Low (Surface),,
10550_27,All Fires,141.0,100.0
10550_29,Replacement,116.0,100.0
10550_29,Moderate (Mixed),,
10550_29,Low (Surface),,
10550_29,All Fires,116.0,100.0
10560_1_7_8_9,Replacement,121.0,78.0
10560_1_7_8_9,Moderate (Mixed),417.0,22.0
10560_1_7_8_9,Low (Surface),,
10560_1_7_8_9,All Fires,94.0,100.0
10560_10_19,Replacement,180.0,100.0
10560_10_19,Moderate (Mixed),,
10560_10_19,Low (Surface),,
10560_10_19,All Fires,180.0,100.0
10560_15_28,Replacement,197.0,69.0
10560_15_28,Moderate (Mixed),430.0,31.0
10560_15_28,Low (Surface),,
10560_15_28,All Fires,135.0,100.0
10560_16_23,Replacement,217.0,97.0
10560_16_23,Moderate (Mixed),6935.0,3.0
10560_16_23,Low (Surface),,
10560_16_23,All Fires,211.0,100.0
10560_18,Replacement,178.0,80.0
10560_18,Moderate (Mixed),692.0,20.0
10560_18,Low (Surface),,
10560_18,All Fires,142.0,100.0
10560_20,Replacement,216.0,93.0
10560_20,Moderate (Mixed),2905.0,7.0
10560_20,Low (Surface),,
10560_20,All Fires,201.0,100.0
10560_21_22,Replacement,428.0,67.0
10560_21_22,Moderate (Mixed),886.0,33.0
10560_21_22,Low (Surface),,
10560_21_22,All Fires,288.0,100.0
10560_29,Replacement,346.0,75.0
10560_29,Moderate (Mixed),1061.0,25.0
10560_29,Low (Surface),,
10560_29,All Fires,261.0,100.0
10570_12_16,Replacement,510.0,28.0
10570_12_16,Moderate (Mixed),,
10570_12_16,Low (Surface),200.0,72.0
10570_12_16,All Fires,144.0,100.0
10570_18,Replacement,503.0,28.0
10570_18,Moderate (Mixed),,
10570_18,Low (Surface),198.0,72.0
10570_18,All Fires,142.0,100.0
10570_23,Replacement,499.0,29.0
10570_23,Moderate (Mixed),,
10570_23,Low (Surface),199.0,71.0
10570_23,All Fires,142.0,100.0
10570_28,Replacement,486.0,29.0
10570_28,Moderate (Mixed),197.0,71.0
10570_28,Low (Surface),,
10570_28,All Fires,140.0,100.0
10570_29,Replacement,495.0,67.0
10570_29,Moderate (Mixed),,
10570_29,Low (Surface),990.0,33.0
10570_29,All Fires,330.0,100.0
10580_12,Replacement,156.0,23.0
10580_12,Moderate (Mixed),51.0,69.0
10580_12,Low (Surface),459.0,8.0
10580_12,All Fires,35.0,100.0
10580_4,Replacement,278.0,18.0
10580_4,Moderate (Mixed),103.0,48.0
10580_4,Low (Surface),145.0,34.0
10580_4,All Fires,50.0,100.0
10580_7,Replacement,91.0,88.0
10580_7,Moderate (Mixed),,
10580_7,Low (Surface),647.0,12.0
10580_7,All Fires,80.0,100.0
10581_6,Replacement,158.0,23.0
10581_6,Moderate (Mixed),51.0,69.0
10581_6,Low (Surface),460.0,8.0
10581_6,All Fires,36.0,100.0
10582_6,Replacement,247.0,11.0
10582_6,Moderate (Mixed),57.0,46.0
10582_6,Low (Surface),60.0,43.0
10582_6,All Fires,26.0,100.0
10590_24_28,Replacement,433.0,29.0
10590_24_28,Moderate (Mixed),199.0,64.0
10590_24_28,Low (Surface),1914.0,7.0
10590_24_28,All Fires,127.0,100.0
10590_25,Replacement,243.0,24.0
10590_25,Moderate (Mixed),254.0,23.0
10590_25,Low (Surface),108.0,53.0
10590_25,All Fires,58.0,100.0
10590_26,Replacement,29.0,36.0
10590_26,Moderate (Mixed),32.0,33.0
10590_26,Low (Surface),34.0,31.0
10590_26,All Fires,11.0,100.0
10590_27_33,Replacement,325.0,42.0
10590_27_33,Moderate (Mixed),405.0,34.0
10590_27_33,Low (Surface),563.0,24.0
10590_27_33,All Fires,137.0,100.0
10600_1_2_7,Replacement,380.0,7.0
10600_1_2_7,Moderate (Mixed),640.0,4.0
10600_1_2_7,Low (Surface),31.0,89.0
10600_1_2_7,All Fires,27.0,100.0
10610_13,Replacement,79.0,41.0
10610_13,Moderate (Mixed),55.0,59.0
10610_13,Low (Surface),,
10610_13,All Fires,32.0,100.0
10610_15_25,Replacement,43.0,28.0
