bps_model_id,symbol,scientific_name,common_name
10321_6,PIJE,Pinus jeffreyi,Jeffrey pine
10321_6,PICO,Pinus contorta,Lodgepole pine
10322_6,ABMA,Abies magnifica,California red fir
10322_6,PIMO3,Pinus monticola,Western white pine
10322_6,PICO,Pinus contorta,Lodgepole pine
10322_6,TSME,Tsuga mertensiana,Mountain hemlock
10330_12,PICO,Pinus contorta,Lodgepole pine
10330_12,PIAL,Pinus albicaulis,Whitebark pine
10330_12,ABLA,Abies lasiocarpa,Subalpine fir
10330_3_6_7,PIAL,Pinus albicaulis,Whitebark pine
10330_3_6_7,TSME,Tsuga mertensiana,Mountain hemlock
10330_3_6_7,ABMA,Abies magnifica,California red fir
10340_4_6_7,CUSA3,Cupressus sargentii,Sargent’s cypress
10340_4_6_7,PISA2,Pinus sabiniana,California foothill pine
10340_4_6_7,GACO9,Garrya congdonii,Chaparral silktassel
10340_4_6_7,QUDU4,Quercus durata,Leather oak
10340_4_6_7,UMCA,Umbellularia californica,California laurel
10340_4_6_7,FRCA12,Frangula californica,California buckthorn
10350_1_2_7,PSME,Pseudotsuga menziesii,Douglas-fir
10350_1_2_7,ABGR,Abies grandis,Grand fir
10350_1_2_7,CADE27,Calocedrus decurrens,Incense cedar
10360_1_2,PISI,Picea sitchensis,Sitka spruce
10360_1_2,TSHE,Tsuga heterophylla,Western hemlock
10360_1_2,PSEUD7,Pseudotsuga,Douglas-fir
10360_1_2,ALRU2,Alnus rubra,Red alder
10360_1_2,RUSP,Rubus spectabilis,Salmonberry
10370_1_2_7,PSME,Pseudotsuga menziesii,Douglas-fir
10370_1_2_7,TSHE,Tsuga heterophylla,Western hemlock
10370_1_2_7,THPL,Thuja plicata,Western red cedar
10370_1_2_7,,,
10380_1_7,TSME,Tsuga mertensiana,Mountain hemlock
10380_1_7,ABLA,Abies lasiocarpa,Subalpine fir
10380_1_7,ABAM,Abies amabilis,Pacific silver fir
10380_1_7,CHNO,Chamaecyparis nootkatensis,Alaska cedar
10390_1_2_3_7,PSME,Pseudotsuga menziesii,Douglas-fir
10390_1_2_3_7,TSHE,Tsuga heterophylla,Western hemlock
10390_1_2_3_7,THPL,Thuja plicata,Western red cedar
10411_1_7,TSME,Tsuga mertensiana,Mountain hemlock
10411_1_7,ABAM,Abies amabilis,Pacific silver fir
10411_1_7,CHNO,Chamaecyparis nootkatensis,Alaskan yellow cedar
10411_1_7,VACCI,Vaccinium,Blueberry
10412_1_7,VACCI,Vaccinium,Blueberry
10412_1_7,PICO,Pinus contorta,Lodgepole pine
10412_1_7,ABAM,Abies amabilis,Pacific silver fir
10412_1_7,CHNO,Chamaecyparis nootkatensis,Alaska cedar
10412_1_7,TSME,Tsuga mertensiana,Mountain hemlock
10420_1_7,ABAM,Abies amabilis,Pacific silver fir
10420_1_7,TSHE,Tsuga heterophylla,Western hemlock
10420_1_7,THPL,Thuja plicata,Western red-cedar
10420_1_7,CHNO,Chamaecyparis nootkatensis,Alaska yellow cedar
10430_5,PSMEM,Pseudotsuga menziesii var. menziesii,Douglas-fir
