"bps_model_id","severity","avg_fi","percent_of_all_fires","min_fi","max_fi"
"16902_67_68_69_70_71_72_73_74_75_76_77","Low (Surface)","","","",""
"16902_67_68_69_70_71_72_73_74_75_76_77","All Fires","1019","100","",""
"16970_67_68_69_70_71_72_76","Replacement","","","",""
"16970_67_68_69_70_71_72_76","Moderate (Mixed)","","","",""
"16970_67_68_69_70_71_72_76","Low (Surface)","","","",""
"16970_67_68_69_70_71_72_76","All Fires","","","",""
"16990_67_68_69_70_71_72_73_76","Replacement","","","",""
"16990_67_68_69_70_71_72_73_76","Moderate (Mixed)","","","",""
"16990_67_68_69_70_71_72_73_76","Low (Surface)","","","",""
"16990_67_68_69_70_71_72_73_76","All Fires","","","",""
"17010_67_68_72","Replacement","","","",""
"17010_67_68_72","Moderate (Mixed)","","","",""
"17010_67_68_72","Low (Surface)","","","",""
"17010_67_68_72","All Fires","","","",""
"17020_67_68_69_70_72_73_76","Replacement","","","",""
"17020_67_68_69_70_72_73_76","Moderate (Mixed)","","","",""
"17020_67_68_69_70_72_73_76","Low (Surface)","","","",""
"17020_67_68_69_70_72_73_76","All Fires","","","",""
"17040_68_72","Replacement","498","100","",""
"17040_68_72","Moderate (Mixed)","","","",""
"17040_68_72","Low (Surface)","","","",""
"17040_68_72","All Fires","498","100","",""
"17060_67_68_69_70_71_72_73_76","Replacement","","","",""
"17060_67_68_69_70_71_72_73_76","Moderate (Mixed)","","","",""
"17060_67_68_69_70_71_72_73_76","Low (Surface)","","","",""
"17060_67_68_69_70_71_72_73_76","All Fires","","","",""
"17080_67_68_69","Replacement","","","",""
"17080_67_68_69","Moderate (Mixed)","","","",""
"17080_67_68_69","Low (Surface)","","","",""
"17080_67_68_69","All Fires","","","",""
"17090_67_68_72_76_80","Replacement","","","",""
"17090_67_68_72_76_80","Moderate (Mixed)","","","",""
"17090_67_68_72_76_80","Low (Surface)","","","",""
"17090_67_68_72_76_80","All Fires","","","",""
"17110_67_68_72","Replacement","","","",""
"17110_67_68_72","Moderate (Mixed)","","","",""
"17110_67_68_72","Low (Surface)","","","",""
"17110_67_68_72","All Fires","","","",""
"17130_67_68_72_76","Replacement","","","",""
"17130_67_68_72_76","Moderate (Mixed)","","","",""
"17130_67_68_72_76","Low (Surface)","","","",""
"17130_67_68_72_76","All Fires","","","",""
"17140_67_68_69_72_76","Replacement","","","",""
"17140_67_68_69_72_76","Moderate (Mixed)","","","",""
"17140_67_68_69_72_76","Low (Surface)","","","",""
"17140_67_68_69_72_76","All Fires","","","",""
"17150_67_68_69_72","Replacement","","","",""
"17150_67_68_69_72","Moderate (Mixed)","","","",""
"17150_67_68_69_72","Low (Surface)","","","",""
"17150_67_68_69_72","All Fires","","","",""
"17200_72_73_76_80","Replacement","","","",""
"17200_72_73_76_80","Moderate (Mixed)","","","",""
"17200_72_73_76_80","Low (Surface)","","","",""
"17200_72_73_76_80","All Fires","","","",""
"17220_68_69_70_71_72_73_74_75_76_77_78","Replacement","","","",""
"17220_68_69_70_71_72_73_74_75_76_77_78","Moderate (Mixed)","","","",""
"17220_68_69_70_71_72_73_74_75_76_77_78","Low (Surface)","","","",""
"17220_68_69_70_71_72_73_74_75_76_77_78","All Fires","","","",""
