"BPS_MODEL","Symbol","Scientific.Name","Common.Name"
"16292_67_68_69_70_71_72_73_74_76","ERVA4","Eriophorum vaginatum","Tussock cottongrass"
"16292_67_68_69_70_71_72_73_74_76","CABI5","Carex bigelowii","Bigelow's sedge"
"16292_67_68_69_70_71_72_73_74_76","VAOX","Vaccinium oxycoccos","Small cranberry"
"16292_67_68_69_70_71_72_73_74_76","CHCA2","Chamaedaphne calyculata","Leatherleaf"
"16292_67_68_69_70_71_72_73_74_76","BENA","Betula nana","Dwarf birch"
"16292_67_68_69_70_71_72_73_74_76","LEPAD","Ledum palustre ssp. decumbens","Marsh labrador tea"
"16292_67_68_69_70_71_72_73_74_76","SPHAG2","Sphagnum spp.","Sphagnum"
"16292_67_68_69_70_71_72_73_74_76","PLSC70","Pleurozium schreberi","Schreber's big red stem moss"
"16300_68_69_70_71_72_73_74_75_76_77_78","PIMA","Picea mariana","Black spruce"
"16300_68_69_70_71_72_73_74_75_76_77_78","BENA","Betula nana","Dwarf birch"
"16300_68_69_70_71_72_73_74_75_76_77_78","LEPAD","Ledum palustre ssp. decumbens","Marsh Labrador tea"
"16300_68_69_70_71_72_73_74_75_76_77_78","VAUL","Vaccinium uliginosum","Bog blueberry"
"16300_68_69_70_71_72_73_74_75_76_77_78","VAVI","Vaccinium vitis-idaea","Lingonberry"
"16300_68_69_70_71_72_73_74_75_76_77_78","ERVA4","Eriophorum vaginatum","Tussock cottongrass"
"16300_68_69_70_71_72_73_74_75_76_77_78","CABI5","Carex bigelowii","Bigelow's sedge"
"16300_68_69_70_71_72_73_74_75_76_77_78","RUCH","Rubus chamaemorus","Cloudberry"
"16330_68_69_70_71_73_74_75_76_77_78","CABI5","Carex bigelowii","Bigelow's sedge"
"16330_68_69_70_71_73_74_75_76_77_78","SAPUL","Salix pulchra","Tealeaf willow"
"16330_68_69_70_71_73_74_75_76_77_78","BENA","Betula nana","Dwarf birch"
"16330_68_69_70_71_73_74_75_76_77_78","ARAL2","Arctostaphylos alpina","Alpine bearberry"
"16330_68_69_70_71_73_74_75_76_77_78","EMNI","Empetrum nigrum","Black crowberry"
"16350_68_69_70_71_72_73_74_75_76_77_78","CATE11","Cassiope tetragona","White arctic mountain heather"
"16350_68_69_70_71_72_73_74_75_76_77_78","EMNI","Empetrum nigrum","Black crowberry"
"16350_68_69_70_71_72_73_74_75_76_77_78","VAUL","Vaccinium uliginosum","Bog blueberry"
"16350_68_69_70_71_72_73_74_75_76_77_78","HAST3","Harrimanella stelleriana","Alaska bellheather"
"16350_68_69_70_71_72_73_74_75_76_77_78","ARCTO3","Arctostaphylos","Manzanita"
"16350_68_69_70_71_72_73_74_75_76_77_78","DRIN4","Dryas integrifolia","Entireleaf mountain-avens"
"16350_68_69_70_71_72_73_74_75_76_77_78","DROC","Dryas octopetala","Eightpetal mountain-avens"
"16350_68_69_70_71_72_73_74_75_76_77_78","LEPAD","Ledum palustre ssp. decumbens","Marsh labrador tea"
"16350_68_69_70_71_72_73_74_75_76_77_78","LOPR","Loiseleuria procumbens","Alpine azalea"
"16370_68_69_70_71_72_73_74_75_76_77_78_80","SAAL","Salix alaxensis","Feltleaf willow"
"16370_68_69_70_71_72_73_74_75_76_77_78_80","SALIX","Salix pulchra","Willow"
